testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,,,
13-11-08-A, Q1,1,2, 1, [3, 3, 4, 2, 5, 2, 5, 2, 3, 3, 3], [Exponents, Fractional Powers, Arithmetic Operations]
13-11-08-A, Q2,1,2, 1, [3, 3, 4, 3, 5, 3, 5, 3, 3, 3, 3], [Matrices, Matrix Addition, Scalar Multiplication, Arithmetic Operations]
13-11-08-A, Q3,1,2, 1, [4, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Limits, Sequences and Series, Asymptotic Analysis, Exponential Growth]
13-11-08-A, Q4,1,3, 0, [4, 4, 4, 3, 4, 3, 5, 3, 4, 3, 4], [Graph Theory, Adjacency Matrix, Matrix Interpretation, Graph Connectivity]
13-11-08-A, Q5,1,3, 1, [4, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Calculus, Derivatives, Limits, Function Analysis]
13-11-08-A, Q6,1,3, 1, [4, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Arithmetic Sequences, Series, Algebra, Summation Formulas]
13-11-08-A, Q7,1,3, 1, [3, 3, 4, 3, 5, 3, 5, 3, 4, 3, 3], [Probability, Independent Events, Complementary Events, Set Theory]
13-11-08-A, Q8,1,3, 1, [4, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Calculus, Area Between Curves, Integration, Quadratic Functions]
13-11-08-A, Q9,1,3, 1, [4, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Probability, Binomial Distribution, Expectation, Variance, Algebra]
13-11-08-A, Q10,1,3, 0, [5, 4, 4, 3, 5, 3, 5, 3, 4, 3, 5], [Calculus, Algebra, Logarithms, Fluid Dynamics, Pipe Flow]
13-11-08-A, Q11,1,3, 0, [4, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Calculus, Limits, Continuity, Function Behavior]
13-11-08-A, Q12,1,3, 1, [5, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Probability, Normal Distribution, Central Limit Theorem, Z-Scores, Statistical Inference]
13-11-08-A, Q13,1,3, 1, [4, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Sequences, Series, Logarithms, Functions, Summation]
13-11-08-A, Q14,1,4, 0, [5, 4, 4, 3, 5, 3, 5, 3, 4, 3, 4], [Number Theory, Functions, Divisibility, Algebra, Ordered Pairs]
13-11-08-A, Q15,1,4, 1, [3, 3, 4, 2, 5, 2, 5, 3, 3, 4, 3], [Probability, Conditional Probability, Total Probability]
13-11-08-A, Q16,1,4, 0, [4, 5, 4, 5, 5, 4, 5, 3, 4, 5, 4], [Sequences, Logarithms, Recursive Sequences, Algebra, Functions, Series]
13-11-08-A, Q17,1,4, 0, [4, 5, 4, 5, 5, 4, 4, 3, 4, 4, 5], [Geometry, Calculus, Sequences, Limits, Areas, Fractal Geometry]
13-11-08-A, Q18,1,4, 1, [4, 4, 5, 3, 4, 4, 5, 3, 4, 3, 4], [Combinatorics, Probability, Counting, Distributions, Integer Partitions]
13-11-08-A, Q19,1,4, 0, [4, 4, 4, 3, 4, 4, 5, 3, 4, 4, 4], [Linear Algebra, Matrix Operations, Matrix Equations, Determinants, Properties of Matrices]
13-11-08-A, Q20,1,4, 0, [5, 5, 4, 3, 4, 4, 5, 3, 5, 4, 5], [Logarithms, Number Theory, Sequences, Limits, Mathematical Analysis]
13-11-08-A, Q21,1,4, 1, [4, 4, 5, 3, 4, 3, 5, 3, 4, 4, 5], [Cubic Functions, Differentiation, Tangents, Geometry, Calculus]
13-11-08-A, Q22,0,3, 1, [2, 3, 5, 1, 5, 1, 5, 1, 4, 3, 3], [Limits, Square Roots, Calculus]
13-11-08-A, Q23,0,3, 1, [3, 3, 5, 2, 5, 2, 5, 3, 4, 3, 4], [Integrals, Symmetry, Algebra, Calculus]
13-11-08-A, Q24,0,3, 0, [2, 3, 5, 2, 5, 2, 5, 3, 4, 3, 3], [Sequences, Recursion, Algebra]
13-11-08-A, Q25,0,3, 1, [3, 4, 5, 3, 4, 3, 5, 3, 4, 3, 4], [Functions, Derivatives, Critical Points, Optimization]
13-11-08-A, Q26,0,4, 0, [4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 3], [Linear Algebra, Systems of Equations, Matrices, Determinants]
13-11-08-A, Q27,0,4, 0, [3, 3, 3, 2, 4, 3, 4, 4, 3, 3, 3], [Probability, Random Variables, Expectation, Combinatorics]
13-11-08-A, Q28,0,4, 0, [4, 4, 5, 3, 5, 4, 5, 3, 4, 3, 5], [Piecewise Functions, Continuity, Algebra, Functions]
13-11-08-A, Q29,0,4, 1, [4, 4, 5, 3, 5, 4, 5, 3, 4, 3, 5], [Riemann Sums, Limits, Functions, Continuity, Algebra, Integrals]
13-11-08-A, Q30,0,4, 0, [4, 4, 5, 3, 5, 4, 5, 3, 4, 3, 5], [Coordinate Geometry, Exponentials, Inequalities, Integer Points, Functions]
13-11-08-B, Q1,1,2, 1, [2, 3, 5, 1, 5, 3, 5, 2, 3, 2, 3], [Matrices, Matrix Addition, Arithmetic, Integer Operations]
13-11-08-B, Q2,1,2, 1, [3, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Trigonometry, Tangent, Cosine, Double Angle Identity, Angles]
13-11-08-B, Q3,1,2, 1, [4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Coordinate Geometry, Section Formula, Ratios, Points, 3D Geometry]
13-11-08-B, Q4,1,3, 1, [3, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Arithmetic Sequences, Terms, Equations, Linear Relationships]
13-11-08-B, Q5,1,3, 1, [3, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Probability, Events, Complement, Union, Intersection]
13-11-08-B, Q6,1,3, 1, [4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Coordinate Geometry, Perpendicular Lines, Vectors, Equations of Lines]
13-11-08-B, Q7,1,3, 1, [3, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Trigonometry, Cosine, Sine, Maximum Value, Function Optimization]
13-11-08-B, Q8,1,3, 0, [4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Coordinate Geometry, Parabola, Tangent Lines, Quadratic Equations, Intersection Points]
13-11-08-B, Q9,1,3, 0, [3, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Combinatorics, Selection, Counting, Restrictions, Replacement]
13-11-08-B, Q10,1,3, 0, [4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Functions, Inequalities, Intersection Points, Rational Functions, Integer Solutions]
13-11-08-B, Q11,1,3, 0,  [4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Sequences, Logarithms, Recurrence Relations, General Terms, Algebraic Manipulation]
13-11-08-B, Q12,1,3, 0, [4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Functions, Continuity, Piecewise Functions, Quadratic Functions, Limits]
13-11-08-B, Q13,1,3, 0,  [4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Calculus, Volume, Rotation, Solid of Revolution, Hyperbolas]
13-11-08-B, Q14,1,4, 0, [4, 4, 5, 2, 5, 4, 5, 3, 4, 2, 4], [Rotation, Trigonometry, Geometry, Hyperbolas, Focus, Transformation]
13-11-08-B, Q15,1,4, 1,  [5, 5, 5, 3, 5, 5, 5, 3, 5, 2, 5], [Geometry, Limits, Sequences, Areas, Rectangles, Circular Sectors]
13-11-08-B, Q16,1,4, 1, [5, 5, 5, 3, 5, 5, 5, 3, 5, 2, 5], [Probability, Probability Density Function, Random Variables, Expectations, Continuous Distributions]
13-11-08-B, Q17,1,4, 0, [4, 5, 5, 3, 5, 5, 5, 3, 4, 2, 4], [Matrices, Linear Algebra, Matrix Operations, Matrix Inverse, Identity Matrix, Zero Matrix]
13-11-08-B, Q18,1,4, 1, [5, 4, 5, 4, 5, 5, 5, 3, 5, 2, 5], [Trigonometric Functions, Limits, Intersections, Asymptotic Behavior]
13-11-08-B, Q19,1,4, 1, [4, 4, 5, 3, 5, 4, 5, 4, 4, 3, 5], [Geometry, Sphere, Coordinate Geometry, Intersection, Radius]
13-11-08-B, Q20,1,4, 0, [4, 4, 5, 3, 5, 4, 5, 4, 4, 3, 5], [Logarithms, Characteristic, Mantissa, Number Theory]
13-11-08-B, Q21,1,4, 0, [4, 4, 5, 3, 5, 4, 5, 4, 4, 3, 5], [Integration, Continuous Functions, Symmetry, Calculus]
13-11-08-B, Q22,0,3, 1, [2, 2, 5, 1, 5, 1, 5, 3, 3, 1, 3], [Derivatives, Exponential Functions, Calculus]
13-11-08-B, Q23,0,3, 1, [2, 2, 5, 2, 5, 2, 5, 3, 3, 1, 3], [Probability, Combinatorics, Ratios]
13-11-08-B, Q24,0,3, 0, [4, 4, 5, 3, 5, 3, 5, 4, 4, 3, 4], [Quadratic Equations, Algebra, Irrational Equations]
13-11-08-B, Q25,0,3, 0, [4, 4, 5, 3, 5, 3, 5, 4, 4, 3, 4], [Fluid Dynamics, Logarithmic Equations, Algebra, Mathematical Modeling]
13-11-08-B, Q26,0,4, 0, [4, 4, 5, 3, 5, 3, 5, 4, 4, 3, 4], [Statistics, Confidence Intervals, Proportions, Normal Distribution]
13-11-08-B, Q27,0,4, 0, [4, 4, 5, 3, 5, 3, 5, 4, 4, 3, 4], [Conic Sections, Ellipses, Distance Formula, Coordinate Geometry]
13-11-08-B, Q28,0,4, 0, [4, 4, 5, 3, 5, 3, 5, 4, 4, 3, 4], [Triangles, Geometry, Limits, Trigonometry]
13-11-08-B, Q29,0,4, 0, [5, 5, 5, 3, 5, 3, 5, 4, 4, 2, 5], [Geometry, Vectors, 3D Geometry, Optimization]
13-11-08-B, Q30,0,4, 0, [5, 5, 5, 3, 5, 3, 5, 4, 4, 2, 5], [Calculus, Quadratic Functions, Derivatives, Optimization]